CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-10-02T16:51:42","18 SPCS","DELTA 1 DEB","1975-004EX","EARTH","TEME","UTC","SGP4","2020-10-02T09:28:46.286688","14.64042755","0.00565470","98.4807","234.5826","159.5311","200.8175","0","U","9320","999","26488","0.00001662700000","0.00000035","0.0000000000000","7058.287","98.357","720.064","640.239","DEBRIS","SMALL","US","1975-01-22","AFWTR","","2840178","162603550","0 DELTA 1 DEB","1  9320U 75004EX  20276.39498017 +.00000035 +00000-0 +16627-4 0  9992","2  9320 098.4807 234.5826 0056547 159.5311 200.8175 14.64042755264883"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-10-02T02:09:23","18 SPCS","OPS 6630 DEB","1973-088F","EARTH","TEME","UTC","SGP4","2020-10-01T22:35:36.883968","12.58990903","0.00230220","97.0280","263.1155","313.7417","71.9311","0","U","9323","999","5424","0.00005851600000","-0.00000009","0.0000000000000","7805.249","114.377","1445.083","1409.145","DEBRIS","SMALL","US","1973-11-10","AFWTR","","2839626","162571495","0 OPS 6630 DEB","1  9323U 73088F   20275.94139912 -.00000009 +00000-0 +58516-4 0  9996","2  9323 097.0280 263.1155 0023022 313.7417 071.9311 12.58990903054246"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-09-30T03:48:57","18 SPCS","ATLAS CENTAUR R/B","1976-073B","EARTH","TEME","UTC","SGP4","2020-09-29T10:24:25.569792","2.23641263","0.71791650","21.3279","186.1972","142.7112","299.9795","0","U","9329","999","23001","0.00050741000000","-0.00000067","0.0000000000000","24700.204","643.888","36054.754","589.385","ROCKET BODY","LARGE","US","1976-07-22","AFETR","","2838000","162452833","0 ATLAS CENTAUR R/B","1  9329U 76073B   20273.43362928 -.00000067 +00000-0 +50741-3 0  9991","2  9329 021.3279 186.1972 7179165 142.7112 299.9795 02.23641263230012"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-10-02T16:51:42","18 SPCS","THORAD DELTA 1 R/B(2)","1974-101G","EARTH","TEME","UTC","SGP4","2020-10-02T11:04:46.748352","2.28795986","0.72194620","12.9461","62.9228","130.6136","319.0464","0","U","9330","999","37113","0.00077921000000","0.00000164","0.0000000000000","24327.803","629.381","35513.034","386.303","ROCKET BODY","LARGE","US","1974-12-19","AFETR","","2840178","162604307","0 THORAD DELTA 1 R/B(2)","1  9330U 74101G   20276.46165218 +.00000164 +00000-0 +77921-3 0  9998","2  9330 012.9461 062.9228 7219462 130.6136 319.0464 02.28795986371138"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-10-02T16:51:42","18 SPCS","OPS 5721","1976-091A","EARTH","TEME","UTC","SGP4","2020-10-02T09:05:01.955904","14.26436409","0.00167320","98.3623","140.9261","281.5745","78.3557","0","U","9415","999","5534","0.00002094200000","0.00000009","0.0000000000000","7181.804","100.950","815.685","791.652","PAYLOAD","LARGE","US","1976-09-11","AFWTR","","2840178","162603182","0 OPS 5721","1  9415U 76091A   20276.37849486 +.00000009 +00000-0 +20942-4 0  9998","2  9415 098.3623 140.9261 0016732 281.5745 078.3557 14.26436409055347"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-10-02T16:51:42","18 SPCS","RADUGA 2","1976-092A","EARTH","TEME","UTC","SGP4","2020-10-02T02:19:26.837760","1.00295781","0.00273490","8.6970","298.8625","337.8605","209.9143","0","U","9416","999","10844","0.00000000000000","-0.00000169","0.0000000000000","42158.006","1435.753","35895.169","35664.573","PAYLOAD","MEDIUM","CIS","1976-09-11","TTMTR","","2840178","162604522","0 RADUGA 2","1  9416U 76092A   20276.09683840 -.00000169 +00000-0 +00000-0 0  9996","2  9416 008.6970 298.8625 0027349 337.8605 209.9143 01.00295781108447"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-10-02T16:51:42","18 SPCS","COSMOS 858","1976-098A","EARTH","TEME","UTC","SGP4","2020-10-02T10:29:16.764576","14.34160453","0.00150930","74.0523","11.1818","283.4556","76.4914","0","U","9443","999","29995","0.00001873300000","0.00000026","0.0000000000000","7155.994","100.407","788.660","767.059","PAYLOAD","LARGE","CIS","1976-09-29","PKMTR","","2840178","162602744","0 COSMOS 858","1  9443U 76098A   20276.43699959 +.00000026 +00000-0 +18733-4 0  9995","2  9443 074.0523 011.1818 0015093 283.4556 076.4914 14.34160453299950"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-10-02T16:51:42","18 SPCS","SL-8 R/B","1976-098B","EARTH","TEME","UTC","SGP4","2020-10-02T08:06:52.546752","14.37925879","0.00119610","74.0498","243.7824","88.9088","271.3436","0","U","9444","999","74159","-0.00000425660000","-0.00000039","0.0000000000000","7143.496","100.144","773.905","756.817","ROCKET BODY","LARGE","CIS","1976-09-29","PKMTR","","2840178","162603940","0 SL-8 R/B","1  9444U 76098B   20276.33810818 -.00000039 +00000-0 -42566-5 0  9992","2  9444 074.0498 243.7824 0011961 088.9088 271.3436 14.37925879741591"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-10-02T22:26:10","18 SPCS","MARISAT 2","1976-101A","EARTH","TEME","UTC","SGP4","2020-10-02T17:37:38.792928","0.97590862","0.01030730","10.1237","320.8341","307.9680","44.6904","0","U","9478","999","10315","0.00000000000000","-0.00000132","0.0000000000000","42933.445","1475.547","36997.837","36112.782","PAYLOAD","LARGE","US","1976-10-14","AFETR","","2840301","162625055","0 MARISAT 2","1  9478U 76101A   20276.73447677 -.00000132  00000-0  00000+0 0  9991","2  9478  10.1237 320.8341 0103073 307.9680  44.6904  0.97590862103155"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-10-02T16:51:42","18 SPCS","METEOR 1-26","1976-102A","EARTH","TEME","UTC","SGP4","2020-10-02T10:46:26.944608","14.09824777","0.00247520","81.2153","278.5956","40.6238","319.6773","0","U","9481","999","26002","-0.00002190200000","-0.00000026","0.0000000000000","7238.108","102.140","877.889","842.057","PAYLOAD","LARGE","CIS","1976-10-15","PKMTR","","2840178","162605007","0 METEOR 1-26","1  9481U 76102A   20276.44892297 -.00000026 +00000-0 -21902-4 0  9998","2  9481 081.2153 278.5956 0024752 040.6238 319.6773 14.09824777260024"
